author	comment	vote
Panda的阴影	1.隔壁《神奇宝贝》《哆啦A梦》《名侦探柯南》的小孩子主角们这么多年过去了依然还是小孩子，而《数码宝贝》的小主人公们倒是都长大了；2.……我们都要接受自己的选择。我们可能无法改变命运，但，我们的人生并没有被决定，所以我们永不放弃。3.曾经一起追看第一部《数码宝贝》动画的小伙伴们如今大多没了联系，有些甚至不知道他们如今身处何地？过着怎样的生活？……	489
晴蘭	我永远喜欢数码宝贝。	478
ドウモトなぎさ	数码宝贝世界禁止45岁以上卖菜实锤（求求了也把我意识抽走让我永远活在梦幻岛吧	231
芬芬达	在我心中，他们的告别停留在第一部	124
过路龟龟	吊打tri几百条街。官方终于懂了。我可能会吹过头，但是香是真的香。首先情怀特别足！光叔版的butter-fly，宫叔版的brave heart。bgm都是初代的原汁原味。进化动画完美还原初代动画。开头的打戏也特别精彩，作画流畅！虽然突然有些迷之3D建模或者路人，但是整体看下去都无伤大雅。剧情虽然不是特别出彩，反转也意料之中。但是各种彩蛋，细节，演出都太棒了。彩蛋！不仅有初代和02tv正剧的，还有初代和02的四部剧场版的彩蛋，当然也有tri的。细节和演出！印象最深的就是女研究员脸上划过雨滴的影子和两只蝴蝶飞向远方等等，演出都特别棒！煽情也点到为止。妈的我差点哭了。结尾曲完美衔接02大结局。遗憾也有，没有八个一起的进化动画，苏娜惨，比丘兽惨。最后的打戏再多打点就好了。但瑕不掩瑜！很香！很满足！	630
小熙资深任豚	太写实了  太悲伤了  所有被选中的孩子都无法逃脱的宿命：「长大成年」  这个定义是：臣服现实  放弃梦想  失去了可能性  就像22岁的应届毕业生八神太一  把亚古兽放在老家  一个人租着房子打零工喝闷酒看小黄书打飞机的社畜单身狗生活  他的迷茫是所有成年人的迷茫  于是他开始失去被选中的资格…	177
kakakarl	画风很喜欢，时间轴比tri更延后，主人公跟着观众一起又长大了，质量也比tri好很多！梅诺这种反派方式的新加入，都比tri的眼镜女更让人觉得顺心。虽然没有初代合体，但初代和二代是完整的主角，更符合“不要沉湎于过去，要向未来看去”的主题。智能手机的进化方式很可以，可以出手游。开场半小时就合体进化为了奥米加兽，太强了！小时候是被选中的孩子，长大后却找不到工作，也太惨。陪君千里，终有一别，以后就是太一和大和在一起相互依靠了～	147
有心打扰	诸多不满意，但是情怀让我无法给差评。太一他们长大了，现实中的我也不再是小学时候第一次看它们的模样了。为了这20周年纪念日就暂时忍一忍分开一下吧，太一和亚古兽一定会在见面的，就像如今的我，也依然会看《数码宝贝》。	116
一口大井子	开场：爷的青春回来了！结尾：艹，把爷的青春还回来！（每首bgm响起都还是会有泪目的冲动	116
ForFay	整体好看的！比tri强了不止一星半点，保留了最初版本的进化画面，打斗场面好看，最后看哭了。和太一同一个学校，用同一栋教学楼同一个食堂很开心了哈哈哈。	110
雪后林中有鹿	哭的稀里哗啦的，为什么长大就要和数码兽分开，大人也需要数码兽啊！	173
阿蒙君	那年夏天已经远去了。	79
Pluvsh	亚古兽：“太一，你明天做什么？” 太一：“明天啊...” 镜头一转 来不及说的再见和止不住的泪水..告别没有轰轰烈烈的场面，越平淡越遗憾越想哭。可人啊 就是要长大啊。和自己的过去告别、和自己的青涩告别、和自己的种种遗憾告别。然后去开启新的冒险和征程。	325
小烨	不是“童年回来了”，而是“终于失去了童年”。	178
飞侠式拼搏	1.我们都已长大，可数码宝贝永远不会变。《Butter-Fly》一响起就泪目了！！！我的童年啊！！！
2.初代八人未同框，素娜没有参战，全片更是酱油到只是出来露个脸。差评！	50
安妮塔	被社会毒打完的又一周，深夜看哭成傻子。瞄准了我们这个年龄层的受众。
关于成长的主题，能阐述得细腻不矫情。
一方面是随着长大渐渐淡去的个人色彩，泯然众人矣的现实，须缄默接受。另一方面是必须选择、放弃、妥协，才能前进一些。
两股力在一起，曾经被选召的耀眼孩子，也成了失去数码兽、为找工作烦恼的普通成年人。
Ok fine.
爱BGM.	96
一只酸奶牛	这个“告别”的立意真的是杀人诛心。太一与亚古兽再见，我与数码宝贝大冒险告别。你所眷恋的温柔港湾，也在督促你赶快面对现实。但这部剧场版的制作也很有问题，一眼就能看穿的做作煽情场景和分镜设计实在是有点尴尬，很可惜。	52
excalibur	最好的成长，是与并肩冒险的伙伴告别，在无限大的天空独自飞翔。	63
Excelsior	说是命题作文也好，但站在这个节点怎么能不被打动……从天使兽出现、阿和摘下头盔、光子郎的乌龙茶，到最后的沉默、泪水和夕阳。谁都会害怕改变害怕分别，但让人有勇气前进的正是那些羁绊与约定，是即便不同也依然存在无限可能的未来。
回忆中的Butterfly会是一直守护大家的Butterfly，平行世界里的冒险永远都是进行时。	33
已注销	不如改成叫太一阿和历险记好了，我想看群像，想看所有数码宝贝最后并肩作战！	447
里克尔	数码宝贝不跟打工人玩儿哈哈	52
国王KING	“你们长大了，我们很高兴。”最终我们无可避免地长大，也无可避免地迎来了告别。虽然结尾很悲哀，但太一和大和还是英姿勃发的少年模样。努力成长吧，一定会遇见更多冒险的！	90
岳书重	这真是一部对特定的人们来说，一部划时代的、震撼的作品。	43
冬眠的knight	聚散终有时	66
what'swilliam	3星半。针对8090后的情怀贩卖之作。1.所谓成长，是失去，是离别，是向前看。2.主题曲和进化战歌一起，浑身鸡皮疙瘩。3.从小就觉得太一和阿和不对劲的我是不是有点不对劲？4.本片又名：《青春期迷途少女如何走上心理变态之路》。5.天女兽天使兽怎么弱的一X？6.就算长大成人变社畜也不要放弃自己身上的无限可能性。7.最后XX和XX消失的时候我在影厅哭成狗，那是我逝去的童年。8.不想长大是错吗？	39
喜儿喂鸭正经地	呃。。所以为啥读大学了就是变成成年人了啊。。很多地方逻辑上真的很牵强。。。	30
影愈者	成长既告别，如果可以谁想从合法中二变成傻逼成年人，这次连“纸片人”“纸片兽”都来告别了，爷的青春果然回不去了。这部剧场版的剧情简单，重要的是因为剧情简单导致的定位尴尬，面向的应该看着初代数码宝贝长大的观众，都是已经长大的人了，还用这种子供向的剧情，所以陷入的也只是对过去情怀的自我感动了	22
JoeyLu陆柏宇	我想看的是八个人并肩作战，而不是属于太一阿和的“remember me”！	10
颜落寒	被选召的孩子们如果选择长大，就必须要和自己的数码兽告别，而童年时曾经流连于数码世界的我们也早已长大成人告别青春，到了不得不以自己的方式与现实世界战斗的时候了。	51
Pint	长大以后就都变成社畜了 与数码宝贝的羁绊也没有了 长大以后就没有数码宝贝了	14
谋杀游戏机	哎，卖情怀就卖吧，谁叫我从看开头字幕就开始眼眶微湿，到最后哭成个泪人呢？数码宝贝故事展开空间其实不大，无非就是反复讲成长和失去，但就这两点就足以让和它一起长大的观众万分留恋了。成年人的世界没有励志童话，连聚齐过去的小伙伴都不大可能了。告别数码宝贝，想逃避现实停留在过去，不就像我们告别一只陪伴长大的宠物，或者最疼爱你保护你的亲人？这谁扛得住啊...很喜欢这次分别的处理，不再是挥别催泪，而是淡淡的“太一，你长大了啊”，“我想吃刨冰“，”明天做什么好呢？”，然后突然，静默...啊，暴击！“还没到欣然接受未来命运的年纪”，数码宝贝没有嫌弃我们这些已经长大了的孩子啊！依然要有梦想，依然要坚信，总有一天我们会迎来新的冒险！	65
kiki204629	你长大了，其实，我们都长大了吖	32
ChrisKirk	我说什么来着，都这样了，太一和阿和还不安排结婚编剧就自己切腹吧！	48
虾大炮	全片处理的最好也是无关情怀却让我汗毛竖起的部分，就是最后没有声嘶力竭的告别，平淡的谈话中甚至还在计划明天，亚古兽和加布兽就消失了。成长中的好多离别，都是悄无声息的，好多人和事来不及说再见，就再也没见过了……	64
商羊i	非常失望，情怀都卖不好。主角是八个人，不是只有两个！	115
Mr. Infamous	太适合跟一年未见的弟弟在家里看了。两个死忠粉，一段永恒闪光的共同回忆。剧场版侧重怀旧，却更是一个高光却残忍的终篇，我们一大截童年终结在离别的列车上，得知这些年相互陪伴，像是心头也有一些柔光始终未散，于是哪怕是反派，也诉着我们无法再诉的衷肠，只是向来好心异化，总是不堪一击。奈何引向这样的夕阳，特别理解阿空的抉择。始终是太一与大和的主场，八人不齐，是心头永远填不上的遗恨啊。	29
千叶柱间	这里的叙事集中反映了一个现实问题是：成人世界为什么一定就是儿童世界的终结？这里才是某种更加可悲的地方，而不仅仅只是分离。假如梦想终将完结的话，我还追逐梦想干什么？最后结局虽然落脚点在敞开的选择自由上，但我为啥就不能继续选择我童年的梦想呢？唉，“成人世界”一次在现实的语境中就是如此地自带无奈与唏嘘。我们应当批判这种成人中心主义的现代性！！	30
超搞笑级的？？	一代目们的第N次告别……	25
横亘与追寻.	也就图个影院里听butterfly了吧	25
Jabbahy	谨以此标记录今年第一次进电影院看电影。热情、记忆、情怀都是慢慢被消磨殆尽的稀罕物件，不让人长大这种好事也只有在电影里才有。	5
塔塔君Minkun	焦虑的社会人来到田口监督面前，竭诚地跪下说道：“神啊，我已经听您说的扔掉了我的童年，我已经是成熟的成年人了，请问您说的我还有无限的可能性，这个可能性是什么呀？”田口：“你至今为止积累的努力不会白费的，所以，不要停下来啊！我该说的，都说完了。”于是，社会人陷入了新的焦虑之中：“您……倒是告诉我答案啊……”	38
连城易脆	哇！一转眼原来已经过去20年了！第一次在电影院里听光叔唱《Butter fly》，还是有所触动的，虽然因为时间太久很多名字已经完全忘记了，但是当进化的音乐响起来，像机械暴龙兽、钢铁加鲁鲁等进化谱系也逐渐从大脑里浮现。电影选择的表现的主题还是很好的，毕竟我们的成长是不可逆的，再好的小伙伴之间的关系也早晚会疏远会遗忘甚至消失，但是那份美好的记忆值得怀念值得留恋值得被铭记。只是也许是我的心境早就不是小学生那会儿的样子了吧，如今看着银幕中那些也同样长大的角色，而且非常时髦，总觉得怪怪的，说明确实回不去了。另外进化、打斗等还是看得不够过瘾，整体效果在我这里只能算差强人意吧，时间过得真快啊！	10
Rochee	今天下午的超前点映，真是有够难看的，观影过程中让我不时发出“这什么鬼”的疑问。首先，这个画笔也太差了，连tri都不如，巴鲁兽丑得美美宁愿被吸走，最后两位亲儿子所谓的最后进化成的数码兽丑出天际，比大反派那个巨型蜂窝还要丑。其次，要突出成长的主旨可以，但是刻意黑化大可不必，女反派的内心扭曲程度跟望月芽心有的一拼，有好几幕我以为在看恐怖片。最后，所谓最后的进化也只是两位男主的进化，其他人都打酱油，素娜阿助美美只有几个镜头，还强行插入第二部那几位，不好意思青春里面真的没有那几只。近几年卖情怀的续作里，这部最差无疑。	27
遮那王	依稀记得小时候有一集数码宝贝是太一他们和自己的数码宝贝分开，回到了现世。当时其实不太看得懂，但还是觉得好难过好难过，哭的撕心裂肺。过了这么多年，真的到了分别的时候了，自己还是忍不住掉眼泪。所谓成长，大概就是和自己珍视的一切慢慢告别。	248
走着走着。	日本上映了，国内何时看得到呢？	21
郭连凯	BGM一起，眼泪就止不住。（评分没有任何参考性只因为儿时情怀）	19
壹安²	电影院里听BGM听到热泪盈眶！当我们学会成长，找到人生方向，数码宝贝的故事，才是真正告一段落了。下面是数码宝贝死忠粉时间：彩蛋好多了啊啊！！二代们终于上场了上次连酱油都没打着！！爷的两段青都回了！要是四代能上就大哭死啊啊！要有续集啊呜呜呜！！）	12
清舞翩翩	素娜钱没给到位，比二代的戏份都不如哈哈、太一阿和搞基双人组合体打不过，分开却赢了！boss差不多翻版究极吸血魔兽！音乐一起就是童年的味道。幸好嘉儿有哨子！！我永远喜欢数码宝贝亚古兽勇气。加布兽友情。甲虫兽知识。巴鲁兽纯真。哥玛兽诚实。天使兽希望。迪路兽光明。比丘兽爱心！！！（素娜给个结尾c位）	20
黄悦_	我们总是诟病隔壁的哆啦A梦和柯南不会长大 然而但当发现这边厢数码暴龙被选中的孩子都已经工作了 又会感叹时间快得残酷。老实说 这电影不太好看 打斗不精彩 这8个孩子甚至都没有同框 但是啊 太一的吹哨、大家的互动、还有穿插的那些回忆的片段还是让当年追第一代数码暴龙的我们触动心头了不是吗？最关键的是 这电影教会了我们 哪怕过去是美好的 但是总抓住以前只会让人没有进步 乐观地往前看 那才是人生 那才是成长。	22
Cycble	①“花仙兽超进化……”十几年前电影里被选中的孩子和十几年后坐在电影院看电影的孩子，形成了互文，他们都回不去了。真的很容易泪奔啊。

②这是为了告别的聚会，毕竟为了告别我们才聚在一起。点首许嵩的《如约而至》吧：人生里看似偶然却又必经的告别，无约而至，无人可免。

③人活着就无法永远逃避在过去的温柔梦幻里，只能挥手告别那些挚爱，吹着风忍着痛，不断向前向前。能做的就是，做好当下的每一个选择，不畏将来，不念过往。

④那些被选中的孩子后来都怎样了？或者说，那些说长大要当科学家的孩子后来都怎样了？大多成了像我这样的人，还在人海里浮沉。	10
夏虫晓宇orz	点映 知道的剧情 孩子们的数码宝贝都没有究极体进化 甚至完全体都没有 只有仙人掌 兽 海狮兽 和比多兽 没有座天使 也没有炽天使 甚至素娜都没有参战 镜头很少很少  所以可想而知了	92
焱返	所以阿丈终于不考试了，年纪最大还和哥玛兽在一起是因为还没想好要去做哪个科室的医生？最后只能跑去治数码兽。
cp估计还是和空，因为太一还在看本子，阿和从玩乐队到开机车依旧那么帅，太一从阿和那里才知道阿空沉迷插花，空不喜欢打架是真的，但怎么觉得还是因为想卖腐，啧，自从有了皇骑就天天消费奥米加，最终进化还以为斗士精神了。
不想长大，但敢于长大承担分别的痛苦是人生的不可避免。
不过趋势似乎还是02大结局，外交官，宇航员，卖拉面，光子郎美美双总裁人生赢家，问题是小贤和阿京看上去还没什么真是急死人了（）	23
木下フランコ	以下碎碎念：比tri是要好一点的。但是诚意还是不足。主角组肯定也不会就这么没了，不然你们要把第二部结局那个全家福吃了吗？（那好啊把拉郎配CP也吃了吧）所以过几年又来个骗情怀企划弄回来呗？最后主角组的进化怎么看怎么像四代主角组的废案。	17
恶魔的步调	毕竟细田守最初的“小”电影催生了夏日大作战（特别巧，他的电影最近我们也将第一次在电影院见到），所以蓝天白云还是很能让人联想的；而成长的主题则会让人联想到细田守参与的少女革命，大战后消失的拍档和乐观只身前行，一模一样的收尾，现在一想，其实也可以将少革倒悬城堡看成是neverland；同时最后几段的感觉（特别是那种场设的感觉）也太neta同样御三作eva的感觉了，加上用的很好的配乐，节制的cg感（甚至有种手绘感了），以及复古的画幅选择，形成的一个整体的氛围感还是挺有意思的。可能就是在预期之外少一些超预期的东西。	6
阿C	剧情太弱了，太一阿和性格同化，跟双胞胎一样，一点特色都没了，剩下的孩子们完全是背景板了。这不是我的童年，这一部作为告别，不接受	31
Elinas	这部电影是绝对的粉丝向，没有看过数码宝贝大冒险01,02，或者是觉得这两部不好看的人，请千万不要去看。先说缺点，最大的割裂来自于主角们都和当年的观众一样已经长大成人，世界观设定还是动画片的级别，违和感很大。其次主要矛盾来自于数码兽会随着孩子“可能性”的消退而消失的设定，这您之前这么多部可是提都没提啊！虽然催泪是催泪，细想还是觉得有点太都和了。最终战的战斗场面着实有点拉胯，再加上其他数码宝贝遮遮掩掩，镜头真的就几个。优点有神级的配乐，真是让人起鸡皮疙瘩；对于成长这一话题还算不错的讨论-虽然无限月读和勇于向前的冲突在日本作品里真是用烂了，放在这个动画的设定下还是蛮合适的。最后居然02系那么不受待见的角色还有几个镜头，也值了。	12
过热·钢筋	被tri搞怕了。看之前一直在怀疑本片的圈钱实质，成品质量挺不错。开场鹦鹉兽从午夜降临变成大白天阻击，古典启蒙波莱罗，标准战歌butterfly、二代全员登场、太一吹响哨子赚足粉丝情怀。最后的进化是我们带着自己的童年回忆，与长大的自己融为一体，勇敢地走向未来的进化。片尾暗示回归可以但没必要。可我们终究是要长大的呀	14
gao	這部電影叫 數碼暴龍之 我想不到論文題目	16
西帕克	20周年纪念剧场版，观众从少年成了大叔，动画里的小朋友也一个个变成了社畜。就像《玩具总动员3》一样，讲述的是成年人如何和童年玩伴告别的故事。小朋友会长大，数码宝贝却不会，但这样的告别依然显得强行。其实对于大部分观众来说，早已在很多年前完成了告别，再看这样的作品，也仅仅是怀旧罢了。	7
亦川君	现实已经很苦了，生活没有放过我，连他们也没有放过。	10
YiQiao	两星半//是对看数码宝贝长大的孩子的精准打击 看到最后发现自己才是那个被制片策划选中的孩子//反派的数码宝贝进化后的进攻和防御模式也太他妈AT力场了吧？？？//以及不愧是我从小就站的cp 太一x阿和太好嗑了//吉他和弦煽大情了 俗套情节推动刻板人物 是过于标准的模版化操作//主角试图说教教人长大 而我可能更会买反派的帐 留在美好过去没什么不好 不愿意长大就不愿意长大呗 做自己开心的事就好 但也是真的 选择了就不要用后悔来折磨自己了 往前走吧	4
author	comment	vote
戴安娜普林斯	您就是吹哨人太一？	1158
Anmi	光子郎当上了公司总裁，美美在直播带货做微商，我从三流大学毕业。我们都有光明的未来	3343
Mr. Fahrenheit	把「一切都是美國佬搞事」這個命題拍得出神入化。	426
朝阳区妻夫木聪	不！满！意！等了大半年你就给我看这个？除了光叔的op、吹哨杀、有轨电车这些细节让人觉得还在看数码宝贝，别的还有啥？节奏不停赶，打斗也不精彩，最重要的进化段落就简化成两道光，最后那两只丑丑的半兽人是什么鬼，所谓的迎合初代目粉丝的情怀，居然连八只合体都没有，更别提究极进化了，屁都没看到。无语死。你们说的道理我都懂，什么童年伙伴不可能一起走到最后的，有的人走着走着就散了，I know，我接受，但至少给个有说服力的心理转变吧？你想讨好粉丝，又不想发糖，走深度又上不去（这个主题难道Toy3里面不就用过了吗？），东映你没有心。初代目的主角永远是八个人，既然只有太一跟阿和拿了主角剧本，那麻烦编剧改成BL漫，我可以考虑一下改星。真是气死。	693
D调	如果你不喜欢这部动画电影，那么它不是为你准备的，故事的终章是为真正有童年，不忘初心，老漫迷的人而准备的。

      
      ——2020.10.31 大银幕观影，感谢造梦者。	1827
青豆酥	社畜有被内涵到	407
刘セイლ(́◉◞౪◟◉‵ლ	这是一部送给和数码宝贝一起成长的你。
简单来说，如果你曾经在电视机前追过数码宝贝的话，这是一部眼角带着泪水看到结尾的作品。
说的夸张点观后想到某个桥段或者与人谈起都会泪目的作品。看着太一一边打工一边在居酒屋喝着酒和阿和一起为自己未来着急，谈笑着说着亚古兽他们完全没有改变的时候我才发现他们和我一样终于长大了。
伴着阿和的口琴声与亚古兽道别之时讨论着明天要干什么等等等。。。
这不是一部只有butterfly和进化的作品，它有着我们这代人太多的值得回味与细品的东西。
向我的童年与青春致个敬！(补充)看评论里有很多谈到素娜没有戏份这件事情东映在电影公开前在YouTube上公开了一部前日谭说明了这场最后的进化里没有素娜的戏份的具体原因推荐看了前日谭之后再看本篇会比较能接受。	1061
苫小牧	Bgm一响我就泪流满面 最后结束了大家安安静静看完字幕 沉默着退场 没有一个人说一句话	650
白吃猪排	虽然很多遗憾，初代8人的合体没能上演，几位数码宝贝只打了酱油，武之内空更是钱没给够连全身镜头都没有，但这部应该是看了这么多年数码宝贝到了这个年纪的人最能共鸣的剧情，升学，就职，变得平庸，也许还嘲笑年少的自己。一直以来，数码宝贝想要传达的是友情，信念，初心，直面自我的勇气，这一部想要引导我们思考的是当我们站在人生的分岔路，跟过去告别的意义。
「無事に戻ってこいよ、少年たち。」	1229
薑蓉飯	孩童時代想快點長大成人，長大後卻想做回小朋友。人生真難。	1101
清风	童年情怀真香啊~
  成长是永远的主题啊。当初第一批看数码宝贝的孩子估计现在也长到和主角们一样的年纪，面临着同样的人生选择。但是能陪伴一生的朋友是不存在的，尽管如此那些一起生活的时光，生活的点点滴滴，就是羁绊啊，虽故人不在，但那份感动那份记忆是永远存在于人心中的。
  人啊不能太过于执着于过去，要有向着未来与梦想前进的勇气啊。未来一定会再次相见的 亚古兽!	548
聂曼昆	看到热泪了。串联起二十年的回忆，从滚球兽诞生，到我们的战争游戏，阿和的口琴，太一的护目镜，第一部结局的电车，完完全全的粉丝向大放送，每一个点都是深爱数码宝贝的人记得的，全篇主题也是为我们这群看着数码宝贝长大的孩子们写的，我们是少了更多可能性，就算是离开了彼得潘的梦幻岛，我们不因为沉迷过去的梦幻乡而停止不前，哪怕离开童年最爱的事物很会痛苦，我们也学会了承担更多责任，有太一和孩子们的brave heart往前迈下去，从来没有这么看懂数码宝贝一次，过去都只是隐隐预约记住八个孩子的徽章意义，但整个数码宝贝作品回头细看都有非常多作者想要表达的本意和思考的问题，小孩子的我未能全部理解。本部结局与第二部结尾不同，或者至少没有补全。这是数码二十年最好的总结，谢谢这二十年以及所有陪伴的孩子们，	856
四季	制作还行，但问题也很多，既然都这样了，这一代的故事就别再出下去了...	300
Panda的阴影	1.隔壁《神奇宝贝》《哆啦A梦》《名侦探柯南》的小孩子主角们这么多年过去了依然还是小孩子，而《数码宝贝》的小主人公们倒是都长大了；2.……我们都要接受自己的选择。我们可能无法改变命运，但，我们的人生并没有被决定，所以我们永不放弃。3.曾经一起追看第一部《数码宝贝》动画的小伙伴们如今大多没了联系，有些甚至不知道他们如今身处何地？过着怎样的生活？……	489
晴蘭	我永远喜欢数码宝贝。	478
ドウモトなぎさ	数码宝贝世界禁止45岁以上卖菜实锤（求求了也把我意识抽走让我永远活在梦幻岛吧	231
芬芬达	在我心中，他们的告别停留在第一部	124
过路龟龟	吊打tri几百条街。官方终于懂了。我可能会吹过头，但是香是真的香。首先情怀特别足！光叔版的butter-fly，宫叔版的brave heart。bgm都是初代的原汁原味。进化动画完美还原初代动画。开头的打戏也特别精彩，作画流畅！虽然突然有些迷之3D建模或者路人，但是整体看下去都无伤大雅。剧情虽然不是特别出彩，反转也意料之中。但是各种彩蛋，细节，演出都太棒了。彩蛋！不仅有初代和02tv正剧的，还有初代和02的四部剧场版的彩蛋，当然也有tri的。细节和演出！印象最深的就是女研究员脸上划过雨滴的影子和两只蝴蝶飞向远方等等，演出都特别棒！煽情也点到为止。妈的我差点哭了。结尾曲完美衔接02大结局。遗憾也有，没有八个一起的进化动画，苏娜惨，比丘兽惨。最后的打戏再多打点就好了。但瑕不掩瑜！很香！很满足！	630
小熙资深任豚	太写实了  太悲伤了  所有被选中的孩子都无法逃脱的宿命：「长大成年」  这个定义是：臣服现实  放弃梦想  失去了可能性  就像22岁的应届毕业生八神太一  把亚古兽放在老家  一个人租着房子打零工喝闷酒看小黄书打飞机的社畜单身狗生活  他的迷茫是所有成年人的迷茫  于是他开始失去被选中的资格…	177
kakakarl	画风很喜欢，时间轴比tri更延后，主人公跟着观众一起又长大了，质量也比tri好很多！梅诺这种反派方式的新加入，都比tri的眼镜女更让人觉得顺心。虽然没有初代合体，但初代和二代是完整的主角，更符合“不要沉湎于过去，要向未来看去”的主题。智能手机的进化方式很可以，可以出手游。开场半小时就合体进化为了奥米加兽，太强了！小时候是被选中的孩子，长大后却找不到工作，也太惨。陪君千里，终有一别，以后就是太一和大和在一起相互依靠了～	147
有心打扰	诸多不满意，但是情怀让我无法给差评。太一他们长大了，现实中的我也不再是小学时候第一次看它们的模样了。为了这20周年纪念日就暂时忍一忍分开一下吧，太一和亚古兽一定会在见面的，就像如今的我，也依然会看《数码宝贝》。	116
一口大井子	开场：爷的青春回来了！结尾：艹，把爷的青春还回来！（每首bgm响起都还是会有泪目的冲动	116
ForFay	整体好看的！比tri强了不止一星半点，保留了最初版本的进化画面，打斗场面好看，最后看哭了。和太一同一个学校，用同一栋教学楼同一个食堂很开心了哈哈哈。	110
雪后林中有鹿	哭的稀里哗啦的，为什么长大就要和数码兽分开，大人也需要数码兽啊！	173
阿蒙君	那年夏天已经远去了。	79
Pluvsh	亚古兽：“太一，你明天做什么？” 太一：“明天啊...” 镜头一转 来不及说的再见和止不住的泪水..告别没有轰轰烈烈的场面，越平淡越遗憾越想哭。可人啊 就是要长大啊。和自己的过去告别、和自己的青涩告别、和自己的种种遗憾告别。然后去开启新的冒险和征程。	325
小烨	不是“童年回来了”，而是“终于失去了童年”。	178
飞侠式拼搏	1.我们都已长大，可数码宝贝永远不会变。《Butter-Fly》一响起就泪目了！！！我的童年啊！！！
2.初代八人未同框，素娜没有参战，全片更是酱油到只是出来露个脸。差评！	50
安妮塔	被社会毒打完的又一周，深夜看哭成傻子。瞄准了我们这个年龄层的受众。
